ring_size,rep,measurement_kind,gas,source_file,tx_hash,status
1,0,estimate,96379,results/fig10_ringsig/vectors/L1_rep00.json,,
1,1,estimate,103279,results/fig10_ringsig/vectors/L1_rep01.json,,
1,2,estimate,96367,results/fig10_ringsig/vectors/L1_rep02.json,,
1,3,estimate,103255,results/fig10_ringsig/vectors/L1_rep03.json,,
1,4,estimate,98667,results/fig10_ringsig/vectors/L1_rep04.json,,
1,5,estimate,96367,results/fig10_ringsig/vectors/L1_rep05.json,,
1,6,estimate,96367,results/fig10_ringsig/vectors/L1_rep06.json,,
1,7,estimate,98679,results/fig10_ringsig/vectors/L1_rep07.json,,
1,8,estimate,96379,results/fig10_ringsig/vectors/L1_rep08.json,,
1,9,estimate,96367,results/fig10_ringsig/vectors/L1_rep09.json,,
2,0,estimate,165500,results/fig10_ringsig/vectors/L2_rep00.json,,
2,1,estimate,158588,results/fig10_ringsig/vectors/L2_rep01.json,,
2,2,estimate,160864,results/fig10_ringsig/vectors/L2_rep02.json,,
2,3,estimate,158600,results/fig10_ringsig/vectors/L2_rep03.json,,
2,4,estimate,158588,results/fig10_ringsig/vectors/L2_rep04.json,,
2,5,estimate,174664,results/fig10_ringsig/vectors/L2_rep05.json,,
2,6,estimate,158588,results/fig10_ringsig/vectors/L2_rep06.json,,
2,7,estimate,163176,results/fig10_ringsig/vectors/L2_rep07.json,,
2,8,estimate,160888,results/fig10_ringsig/vectors/L2_rep08.json,,
2,9,estimate,165440,results/fig10_ringsig/vectors/L2_rep09.json,,
4,0,estimate,292217,results/fig10_ringsig/vectors/L4_rep00.json,,
4,1,estimate,287617,results/fig10_ringsig/vectors/L4_rep01.json,,
4,2,estimate,285281,results/fig10_ringsig/vectors/L4_rep02.json,,
4,3,estimate,303705,results/fig10_ringsig/vectors/L4_rep03.json,,
4,4,estimate,285305,results/fig10_ringsig/vectors/L4_rep04.json,,
4,5,estimate,292229,results/fig10_ringsig/vectors/L4_rep05.json,,
4,6,estimate,308317,results/fig10_ringsig/vectors/L4_rep06.json,,
4,7,estimate,289929,results/fig10_ringsig/vectors/L4_rep07.json,,
4,8,estimate,285305,results/fig10_ringsig/vectors/L4_rep08.json,,
4,9,estimate,285293,results/fig10_ringsig/vectors/L4_rep09.json,,
8,0,estimate,543432,results/fig10_ringsig/vectors/L8_rep00.json,,
8,0,spot_check_tx,440711,results/fig10_ringsig/vectors/L8_rep00.json,0xca5a487c1cf51d5cd9d9d7020453ca79ef2be4282ddecf622cb94f2571d00d26,0x1
8,1,estimate,550356,results/fig10_ringsig/vectors/L8_rep01.json,,
8,2,estimate,538808,results/fig10_ringsig/vectors/L8_rep02.json,,
8,3,estimate,559532,results/fig10_ringsig/vectors/L8_rep03.json,,
